City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,san gabriel,34.0961,-118.1058,17.66,37,100,0.38,US,1731303706
304,ballina,-28.8667,153.5667,21.43,96,98,2.14,AU,1731303709
305,huarmey,-10.0681,-78.1522,17.1,93,84,4.53,PE,1731303710
306,keshod,21.3,70.25,32.98,23,0,3.79,IN,1731303711
307,sandnessjoen,66.0217,12.6316,5.06,87,75,1.54,NO,1731303713
308,port saint john's,-31.6229,29.5448,16.99,97,100,0.8,ZA,1731303714
309,brisas de zicatela,15.8369,-97.0419,26.19,84,36,2.17,MX,1731303715
310,magadan,59.5667,150.8,-9.34,92,100,4.83,RU,1731303716
311,sabang,5.8933,95.3214,28.03,74,74,0.79,ID,1731303717
312,dwarka,22.2394,68.9678,30.53,45,0,3.13,IN,1731303719
313,crescent city,41.756,-124.2018,14.16,86,100,8.75,US,1731303574
314,tomatlan,19.9333,-105.25,22.09,97,1,0.99,MX,1731303721
315,sarangani,5.4033,125.4636,28.81,71,8,2.5,PH,1731303722
316,slutsk,53.0274,27.5597,0.71,90,98,0.76,BY,1731303723
317,mitu,1.1983,-70.1733,21.57,97,100,0.7,CO,1731303724
318,cloquet,46.7216,-92.4594,8.52,87,100,5.14,US,1731303726
319,gadzhiyevo,69.2551,33.3362,3.33,73,100,7.39,RU,1731303727
320,blora,-6.9698,111.4186,31.88,59,98,3.18,ID,1731303728
321,qorveh,35.1664,47.8045,12.64,59,84,1.58,IR,1731303729
322,belmonte,-15.8631,-38.8828,22.59,95,100,2.16,BR,1731303730
323,la plata,-34.9215,-57.9545,13.53,94,100,3.13,AR,1731303732
324,belle fourche,44.6714,-103.8522,6.85,63,73,0.5,US,1731303733
325,neftekamsk,56.092,54.2703,-2.52,86,60,3.91,RU,1731303734
326,howrah,22.5892,88.3103,30.0,58,40,3.6,IN,1731303735
327,flying fish cove,-10.4217,105.6791,27.82,83,100,4.63,CX,1731303737
328,selfoss,63.9331,-20.9971,6.14,88,100,5.82,IS,1731303738
329,lebu,-37.6167,-73.65,11.0,88,45,2.07,CL,1731303739
330,pudozh,61.8099,36.5345,-0.9,93,75,1.47,RU,1731303740
331,puerto aysen,-45.4,-72.7,5.78,100,100,2.53,CL,1731303741
332,dzuunharaa,48.8523,106.4579,3.41,37,52,5.53,MN,1731303743
333,kamensk-ural'skiy,56.4185,61.9329,-5.91,85,53,5.26,RU,1731303744
334,sant antoni de portmany,38.9807,1.3036,13.99,88,20,0.51,ES,1731303745
335,tazovsky,67.4667,78.7,-17.42,92,100,7.0,RU,1731303746
336,callao,-12.0667,-77.15,19.84,77,0,4.63,PE,1731303748
337,nagato,34.3833,131.2,18.61,70,59,6.75,JP,1731303749
338,leland,34.2563,-78.0447,22.01,81,0,2.06,US,1731303750
339,port moresby,-9.4431,147.1797,28.68,74,75,5.14,PG,1731303751
340,mossel bay,-34.1831,22.146,15.96,70,84,3.24,ZA,1731303752
341,polyarnyy,69.1989,33.4478,3.08,73,100,6.94,RU,1731303754
342,woolgoolga,-30.1106,153.2007,21.93,95,97,2.23,AU,1731303755
343,ulsteinvik,62.3432,5.8487,9.86,79,100,3.13,NO,1731303756
344,mudgal,16.0167,76.4333,27.35,42,51,3.48,IN,1731303757
345,anjangaon,21.1631,77.3094,28.52,39,0,2.8,IN,1731303758
346,prince rupert,54.3161,-130.3201,8.83,79,75,7.72,CA,1731303760
347,heidelberg,-26.5048,28.3592,18.65,71,99,3.21,ZA,1731303761
348,nouadhibou,20.931,-17.0347,21.99,37,0,5.14,MR,1731303762
349,vorkuta,67.5,64.0,-18.64,100,94,1.85,RU,1731303763
350,jabor,5.921,169.6434,28.12,79,100,5.31,MH,1731303764
351,izki,22.9333,57.7667,29.0,26,2,1.39,OM,1731303766
352,chiredzi,-21.05,31.6667,28.38,47,97,3.18,ZW,1731303767
353,dul'durga,50.6761,113.5931,-1.55,50,32,6.13,RU,1731303768
